,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Kraftwerk,austere,Radio-Aktivität,/album/radio-aktivit%C3%A4t-mw0000462593,"Radioactivity
Is in the air for you and me

Radioactivity
Discovered by Madame Curie

Radioactivity
Tune in to the melody

Radioactivity
Is in the air for you and me

Morse:
	Radioactivity is in the air for you and me
	Radioactivity discovered by madame curie
	Radioactivity tune in to the ... Kraftwerk

Radio Aktivitaet
Fuer dich und mich in All entsteht
(=For you and me in Space comes into being)

Radio Aktivitaet
Strahlt Wellen zum Empfangsgeraet
(=Sends waves to the receiver)

Radio Aktivitaet
Wenn's um unsere Zukunft geht
(=When its about our future)

Morse:
	Radioactivity is in the air for you and me
	Radioactivity discovered by madame curie
	Radioactivity tune in to the ... Kraftwerk

Radioactivity
Is in the air for you and me

Radioactivity
Discovered by Madame Curie

Radioactivity
Tune in to the melody

Radioactivity
Is in the air for you and me",radioactivity air radioactivity discover madame curie radioactivity tune melody radioactivity air morse &#9; radioactivity air &#9; radioactivity discover madame curie &#9; radioactivity tune kraftwerk radio aktivitaet fuer dich und mich entsteht space come radio aktivitaet strahlt wellen zum empfangsgeraet send wave receiver radio aktivitaet wenn um unsere zukunft geht future morse &#9; radioactivity air &#9; radioactivity discover madame curie &#9; radioactivity tune kraftwerk radioactivity air radioactivity discover madame curie radioactivity tune melody radioactivity air,radioactivity be in the air for you and me radioactivity discover by madame curie radioactivity tune in to the melody radioactivity be in the air for you and me morse 	 radioactivity be in the air for you and me 	 radioactivity discover by madame curie 	 radioactivity tune in to the kraftwerk radio aktivitaet fuer dich und mich in all entsteht for you and me in space come into be radio aktivitaet strahlt wellen zum empfangsgeraet send wave to the receiver radio aktivitaet wenn um unsere zukunft geht when its about our future morse 	 radioactivity be in the air for you and me 	 radioactivity discover by madame curie 	 radioactivity tune in to the kraftwerk radioactivity be in the air for you and me radioactivity discover by madame curie radioactivity tune in to the melody radioactivity be in the air for you and me,0.0,0.0,0.0,0,/lyric/1542693/Kraftwerk/Radioactivity+%5BRare+Extended+Version%5D,"['Avant-Garde', 'Pop/Rock']",6:42,"['austere', 'plaintive', 'refined', 'soft/quiet', 'stately', 'cerebral', 'hypnotic', 'quirky']",Radioactivity,https://www.allmusic.com/song/radioactivity-mt0033432016
1,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
And it?s a pink moon
Hey it's a pink moon
Pink, pink, pink, pink, pink moon
Pink, pink, pink, pink, pink moon

I saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
It?s a pink moon
Yea, it's a pink moon",see write see say pink moon way none stand tall pink moon go get ye pink moon hey pink moon pink pink pink pink pink moon pink pink pink pink pink moon see write see say pink moon way none stand tall pink moon go get ye pink moon yea pink moon,see it write and i see it say pink moon be on its way and none of you stand so tall pink moon go to get ye all and its a pink moon hey it be a pink moon pink pink pink pink pink moon pink pink pink pink pink moon i see it write and i see it say pink moon be on its way and none of you stand so tall pink moon go to get ye all its a pink moon yea it be a pink moon,0.0,0.0,0.0,0,/lyric/2388219/Nick+Drake/Pink+Moon,"['Folk', 'Pop/Rock']",2:05,"['austere', 'insular', 'autumnal', 'intimate', 'literate', 'melancholy', 'nocturnal', 'reflective']",Pink Moon,https://www.allmusic.com/song/pink-moon-mt0030328404
2,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"When I was younger, younger than before
I never saw the truth hanging from the door
And now I'm older see it face to face
And now I'm older gotta get up clean the place.

And I was green, greener than the hill
Where the flowers grew and the sun shone still
Now I'm darker than the deepest sea
Just hand me down, give me a place to be.

And I was strong, strong in the sun
I thought I'd see when day is done
Now I'm weaker than the palest blue
Oh, so weak in this need for you.",young young never see truth hang door old see face face old get get clean place green green hill flower grow sun shine still dark deep sea hand give place strong strong sun think would see day weak palest blue oh weak need,when i be young young than before i never see the truth hang from the door and now i be old see it face to face and now i be old get to get up clean the place and i be green green than the hill where the flower grow and the sun shine still now i be dark than the deep sea just hand me down give me a place to be and i be strong strong in the sun i think i would see when day be do now i be weak than the palest blue oh so weak in this need for you ,0.222,0.138,0.6945,1,/lyric/4089653/Nick+Drake/Place+to+Be,"['Folk', 'Pop/Rock']",2:43,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Place to Be,https://www.allmusic.com/song/place-to-be-mt0011300740
3,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"You can say the sun is shining if you really want to
I can see the moon and it seems so clear
You can take the road that takes you to the stars now
I can take a road that'll see me through
I can take a road that'll see me through.

You can take a road that takes you to the stars now
I can take a road that'll see me through
I can take a road that'll see me through
I can take a road that'll see me through.",say sun shin really want see moon seem clear take road take star take road see take road see take road take star take road see take road see take road see,you can say the sun be shin if you really want to i can see the moon and it seem so clear you can take the road that take you to the star now i can take a road that will see me through i can take a road that will see me through you can take a road that take you to the star now i can take a road that will see me through i can take a road that will see me through i can take a road that will see me through ,0.123,0.0,0.4927,1,/lyric/51988/Nick+Drake/Road,"['Folk', 'Pop/Rock']",2:02,"['austere', 'laid-back/mellow', 'pastoral', 'elegant', 'reflective', 'reserved']",Road,https://www.allmusic.com/song/road-mt0034033679
4,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Which will you go for
Which will you love
Which will you choose from
From the stars above
Which will you answer
Which will you call
Which will you take for
For your one and all
And tell me now
Which will you love the best.

Which do you dance for
Which makes you shine
Which will you choose now
If you won't choose mine
Which will you hope for
Which can it be
Which will you take now
If you won't take me
And tell now
Which will you love the best.",go love choose star answer call take one tell love good dance make shine choose not choose mine hope take not take tell love good,which will you go for which will you love which will you choose from from the star above which will you answer which will you call which will you take for for your one and all and tell me now which will you love the good which do you dance for which make you shine which will you choose now if you will not choose mine which will you hope for which can it be which will you take now if you will not take me and tell now which will you love the good ,0.462,0.06,0.9516,1,/lyric/742354/Nick+Drake/Which+Will,"['Folk', 'Pop/Rock']",2:58,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'intimate', 'reflective']",Which Will,https://www.allmusic.com/song/which-will-mt0011302120
5,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Please beware of them that stare
They'll only smile to see you while
Your time away
And once you've seen what they have been
To win the earth just won't seem worth
Your night or your day
Who'll hear what I say.
Look around you find the ground
Is not so far from where you are
But not too wise
For down below they never grow
They're always tired and charms are hired
From out of their eyes
Never surprise.

Take your time and you'll be fine
And say a prayer for people there
Who live on the floor
And if you see what's meant to be
Don't name the day or try to say
It happened before.

Don't be shy you learn to fly
And see the sun when day is done
If only you see
Just what you are beneath a star
That came to stay one rainy day
In autumn for free
Yes, be what you'll be.
Please beware of them that stare
They'll only smile to see you while
Your time away
And once you've seen what they have been
To win the earth just won't seem worth
Your night or your day
Who'll hear what I say.

Open up the broken cup
Let goodly sin and sunshine in
Yes that's today.
And open wide the hymns you hide
You find renown while people frown
At things that you say
But say what you'll say
About the farmers and the fun
And the things behind the sun
And the people around your head
Who say everything's been said
And the movement in your brain
Sends you out into the rain.",please beware stare smile see time away see win earth not seem worth night day hear say look around find ground not far not wise never grow always tired charm hire eye never surprise take time fine say prayer people live floor see mean not name day try say happen not shy learn fly see sun day see beneath star come stay one rainy day autumn free yes please beware stare smile see time away see win earth not seem worth night day hear say open broken cup let goodly sin sunshine yes today open wide hymn hide find renown people frown thing say say say farmer fun thing behind sun people around head say everything say movement brain send rain,please beware of them that stare they will only smile to see you while your time away and once you have see what they have be to win the earth just will not seem worth your night or your day who will hear what i say look around you find the ground be not so far from where you be but not too wise for down below they never grow they be always tired and charm be hire from out of their eye never surprise take your time and you will be fine and say a prayer for people there who live on the floor and if you see what be mean to be do not name the day or try to say it happen before do not be shy you learn to fly and see the sun when day be do if only you see just what you be beneath a star that come to stay one rainy day in autumn for free yes be what you will be please beware of them that stare they will only smile to see you while your time away and once you have see what they have be to win the earth just will not seem worth your night or your day who will hear what i say open up the broken cup let goodly sin and sunshine in yes that be today and open wide the hymn you hide you find renown while people frown at thing that you say but say what you will say about the farmer and the fun and the thing behind the sun and the people around your head who say everything be say and the movement in your brain send you out into the rain ,0.277,0.095,0.9806,1,/lyric/742355/Nick+Drake/Things+Behind+the+Sun,"['Folk', 'Pop/Rock']",3:57,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Things Behind the Sun,https://www.allmusic.com/song/things-behind-the-sun-mt0031053872
6,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Know 
Know
Know
Know
Know 
Know 
Know
Know 
Know that I love you
Know I don't care
Know that I see you
Know I'm not there
Know 
Know
Know
Know",know know know know know know know know know love know not care know see know not know know know know,know know know know know know know know know that i love you know i do not care know that i see you know i be not there know know know know,0.163,0.102,0.3761,1,/lyric/4089658/Nick+Drake/Know,"['Folk', 'Pop/Rock']",2:25,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Know,https://www.allmusic.com/song/know-mt0011300321
7,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Lifting the mask from from a local clown
Feeling down like him
Seeing the light in a station bar
And travelling far in sin
Sailing downstairs to the northern line
Watching the shine of the shoes
And hearing the trial of the people there
Who's to care if they lose.
And take a look you may see me on the ground
For I am the parasite of this town.

Dancing a jig in a church with chimes
A sign of the times today
And hearing no bell from a steeple tall
People all in dismay
Falling so far on a silver spoon
Making the moon for fun
And changing a rope for a size too small
People all get hung.
Take a look and see me coming through
For I am the parasite who travels two by two.

When lifting the mask from a local clown
And feeling down like him
And I'm seeing the light in a station bar
And travelling far in sin
And I'm sailing downstairs to the northern line
Watching the shine of the shoes
And hearing the trials of the people there
Who's to care if they lose.
And take a look you may see me on the ground
For I am the parasite of this town.
And take a look you may see me in the dirt
For i am the parasite who hangs from your skirt.",lift mask local clown feel like see light station bar travel far sin sailing downstairs northern line watch shine shoe hear trial people care lose take look may see ground parasite town dance jig church chime sign time today hear no bell steeple tall people dismay fall far silver spoon make moon fun change rope size small people get hang take look see come parasite travel two two lift mask local clown feel like see light station bar travel far sin sail downstairs northern line watch shine shoe hear trial people care lose take look may see ground parasite town take look may see dirt parasite hang skirt,lift the mask from from a local clown feel down like him see the light in a station bar and travel far in sin sailing downstairs to the northern line watch the shine of the shoe and hear the trial of the people there who be to care if they lose and take a look you may see me on the ground for i be the parasite of this town dance a jig in a church with chime a sign of the time today and hear no bell from a steeple tall people all in dismay fall so far on a silver spoon make the moon for fun and change a rope for a size too small people all get hang take a look and see me come through for i be the parasite who travel two by two when lift the mask from a local clown and feel down like him and i be see the light in a station bar and travel far in sin and i be sail downstairs to the northern line watch the shine of the shoe and hear the trial of the people there who be to care if they lose and take a look you may see me on the ground for i be the parasite of this town and take a look you may see me in the dirt for i be the parasite who hang from your skirt ,0.112,0.153,-0.6486,0,/lyric/4089659/Nick+Drake/Parasite,"['Folk', 'Pop/Rock']",3:36,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Parasite,https://www.allmusic.com/song/parasite-mt0028686830
8,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"I know you
I care too
I see through
All of the pictures that you keep on the wall
All of the people that will come to the ball
But hear me calling
Won't you give me
A free ride.

I know too
What you do
When you're through
Counting the cattle as they go by the door
Keeping a carpet that's so thick on the floor
But hear me calling
Won't you give me
A free ride.

I know you 
I care too
I see through
All of the pictures that you keep on the wall
All of the pictures that you keep on the wall
But hear me calling
Won't you give me
A free ride.",know care see picture keep wall people come ball hear call not give free ride know count cattle go door keep carpet thick floor hear call not give free ride know care see picture keep wall picture keep wall hear call not give free ride,i know you i care too i see through all of the picture that you keep on the wall all of the people that will come to the ball but hear me call will not you give me a free ride i know too what you do when you be through count the cattle as they go by the door keep a carpet that be so thick on the floor but hear me call will not you give me a free ride i know you i care too i see through all of the picture that you keep on the wall all of the picture that you keep on the wall but hear me call will not you give me a free ride ,0.117,0.149,-0.1793,0,/lyric/534907/Nick+Drake/Free+Ride,"['Folk', 'Pop/Rock']",3:06,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Free Ride,https://www.allmusic.com/song/free-ride-mt0011305175
9,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Falling fast and falling free you look to find a friend
Falling fast and falling free this could just be the end
Falling fast you stoop to touch and kiss the flowers that bend
And you're ready now
For the harvest breed.",fall fast fall free look find friend fall fast fall free could end fall fast stoop touch kiss flower bend ready harvest breed,fall fast and fall free you look to find a friend fall fast and fall free this could just be the end fall fast you stoop to touch and kiss the flower that bend and you be ready now for the harvest breed ,0.456,0.0,0.9337,1,/lyric/4089661/Nick+Drake/Harvest+Breed,"['Folk', 'Pop/Rock']",1:37,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Harvest Breed,https://www.allmusic.com/song/harvest-breed-mt0011309503
